Light_Conditions,,,,,Weather_Conditions,
,,,,,,
Mean,1.952040612,,,,Mean,1.511531102
Standard Error,0.00441926,,,,Standard Error,0.004061021
Median,1,,,,Median,1
Mode,1,,,,Mode,1
Standard Deviation,1.653866502,,,,Standard Deviation,1.519798715
Sample Variance,2.735274405,,,,Sample Variance,2.309788135
Kurtosis,0.651820068,,,,Kurtosis,13.59763214
Skewness,1.415566233,,,,Skewness,3.719675511
Range,6,,,,Range,8
Minimum,1,,,,Minimum,1
Maximum,7,,,,Maximum,9
Sum,273395,,,,Sum,211699
Count,140056,,,,Count,140056
